Year,p2,p4
2020,11299.09091,11299.09091
2025,5692.420387,11578.92247
2030,2901.630812,10893.92654
2035,971.9463655,8565.81078
2040,-159.0330789,6034.582466
2045,-777.6235639,2720.12281
2050,-1053.794947,63.20015862
2055,-1208.651399,-2324.774462
2060,-1208.651399,-3575.972374
2065,-1208.651399,-4064.574103
2070,-1208.651399,-4493.407356
2075,-1208.651399,-4814.644848
2080,-1208.651399,-5125.202406
2085,-1208.651399,-5415.869738
2090,-1208.651399,-5585.834137
2095,-1208.651399,-5585.834137
2100,-1208.651399,-5585.834137
